datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2017.01.26,00:00:00,23.59,Arnulf,380,25,405,-8.3,-0.8,0,56,3.8
2017.01.27,00:00:00,23.59,Arnulf,376,27,403,-10.9,5,0,1,8.6
2017.01.28,00:00:00,23.59,Arnulf,161,7,168,-9.7,4.9,0,11,8
2017.01.29,00:00:00,23.59,Arnulf,138,12,150,-8.2,8.7,0,0,8.6
2017.01.30,00:00:00,23.59,Arnulf,487,37,524,-5.8,7.2,4.1,64,1.3
2017.01.31,00:00:00,23.59,Arnulf,315,36,351,1.1,6.2,10.1,98,0
2017.01.01,00:00:00,23.59,Kreuther,14,16,30,-6.1,2.6,0,36,5.9
2017.01.02,00:00:00,23.59,Kreuther,38,41,79,-5.4,0.8,3.2,69,0.3
2017.01.03,00:00:00,23.59,Kreuther,27,26,53,-2.1,0.6,0,85,3.6
2017.01.04,00:00:00,23.59,Kreuther,19,28,47,-0.9,1.3,2.2,94,0
2017.01.05,00:00:00,23.59,Kreuther,15,19,34,-7.1,-0.2,0,88,0
2017.01.06,00:00:00,23.59,Kreuther,2,4,6,-13,-6.5,0,43,5
2017.01.07,00:00:00,23.59,Kreuther,12,15,27,-14.8,-4,4.6,74,0
2017.01.08,00:00:00,23.59,Kreuther,2,5,7,-4.6,-1,2.7,98,0
2017.01.09,00:00:00,23.59,Kreuther,19,34,53,-2.2,-0.1,0,99,0
2017.01.10,00:00:00,23.59,Kreuther,30,44,74,-4.2,0,0.1,65,7.8
2017.01.11,00:00:00,23.59,Kreuther,30,44,74,-5.3,3.8,2.2,98,0.1
2017.01.12,00:00:00,23.59,Kreuther,39,54,93,1.6,5.5,7.3,96,0
2017.01.13,00:00:00,23.59,Kreuther,35,52,87,-1.5,5.4,0.8,94,0
2017.01.14,00:00:00,23.59,Kreuther,9,23,32,-2.3,2,1.5,90,0.5
2017.01.15,00:00:00,23.59,Kreuther,3,8,11,-3.4,0.5,4.3,96,2
2017.01.16,00:00:00,23.59,Kreuther,27,44,71,-4.5,-2.3,1.4,98,0
2017.01.17,00:00:00,23.59,Kreuther,23,37,60,-7.9,-3.7,0.1,73,1.6
2017.01.18,00:00:00,23.59,Kreuther,25,40,65,-8.4,-3.5,0,84,0
2017.01.19,00:00:00,23.59,Kreuther,26,42,68,-8.8,-3.5,0,51,4.4
2017.01.20,00:00:00,23.59,Kreuther,28,40,68,-11,-2.4,0,1,7.5
2017.01.21,00:00:00,23.59,Kreuther,7,13,20,-11.7,-1.7,0,3,7.3
2017.01.22,00:00:00,23.59,Kreuther,6,8,14,-13.1,-6.2,0,16,6.8
2017.01.23,00:00:00,23.59,Kreuther,38,46,84,-13,-4,0,16,6.2
2017.01.24,00:00:00,23.59,Kreuther,29,42,71,-11.4,-7.2,0,96,0
2017.01.25,00:00:00,23.59,Kreuther,30,45,75,-9.6,-3.9,0,100,0
2017.01.26,00:00:00,23.59,Kreuther,18,52,70,-8.3,-0.8,0,56,3.8
2017.01.27,00:00:00,23.59,Kreuther,29,38,67,-10.9,5,0,1,8.6
2017.01.28,00:00:00,23.59,Kreuther,14,21,35,-9.7,4.9,0,11,8
2017.01.29,00:00:00,23.59,Kreuther,7,12,19,-8.2,8.7,0,0,8.6
2017.01.30,00:00:00,23.59,Kreuther,42,63,105,-5.8,7.2,4.1,64,1.3
2017.01.31,00:00:00,23.59,Kreuther,32,37,69,1.1,6.2,10.1,98,0
2017.01.01,00:00:00,23.59,Olympia,181,169,350,-6.1,2.6,0,36,5.9
2017.01.02,00:00:00,23.59,Olympia,216,206,422,-5.4,0.8,3.2,69,0.3
2017.01.03,00:00:00,23.59,Olympia,198,196,394,-2.1,0.6,0,85,3.6
2017.01.04,00:00:00,23.59,Olympia,157,140,297,-0.9,1.3,2.2,94,0
2017.01.05,00:00:00,23.59,Olympia,156,132,288,-7.1,-0.2,0,88,0
2017.01.06,00:00:00,23.59,Olympia,95,89,184,-13,-6.5,0,43,5
2017.01.07,00:00:00,23.59,Olympia,59,68,127,-14.8,-4,4.6,74,0
2017.01.08,00:00:00,23.59,Olympia,94,69,163,-4.6,-1,2.7,98,0
2017.01.09,00:00:00,23.59,Olympia,299,306,605,-2.2,-0.1,0,99,0
2017.01.10,00:00:00,23.59,Olympia,277,312,589,-4.2,0,0.1,65,7.8
2017.01.11,00:00:00,23.59,Olympia,258,241,499,-5.3,3.8,2.2,98,0.1
2017.01.12,00:00:00,23.59,Olympia,316,309,625,1.6,5.5,7.3,96,0
2017.01.13,00:00:00,23.59,Olympia,299,299,598,-1.5,5.4,0.8,94,0
2017.01.14,00:00:00,23.59,Olympia,143,143,286,-2.3,2,1.5,90,0.5
2017.01.15,00:00:00,23.59,Olympia,113,115,228,-3.4,0.5,4.3,96,2
2017.01.16,00:00:00,23.59,Olympia,250,287,537,-4.5,-2.3,1.4,98,0
2017.01.17,00:00:00,23.59,Olympia,262,284,546,-7.9,-3.7,0.1,73,1.6
2017.01.18,00:00:00,23.59,Olympia,205,227,432,-8.4,-3.5,0,84,0
2017.01.19,00:00:00,23.59,Olympia,250,258,508,-8.8,-3.5,0,51,4.4
2017.01.20,00:00:00,23.59,Olympia,224,254,478,-11,-2.4,0,1,7.5
2017.01.21,00:00:00,23.59,Olympia,126,145,271,-11.7,-1.7,0,3,7.3
2017.01.22,00:00:00,23.59,Olympia,98,101,199,-13.1,-6.2,0,16,6.8
2017.01.23,00:00:00,23.59,Olympia,267,303,570,-13,-4,0,16,6.2
2017.01.24,00:00:00,23.59,Olympia,260,285,545,-11.4,-7.2,0,96,0
2017.01.25,00:00:00,23.59,Olympia,225,270,495,-9.6,-3.9,0,100,0
2017.01.26,00:00:00,23.59,Olympia,278,302,580,-8.3,-0.8,0,56,3.8
2017.01.27,00:00:00,23.59,Olympia,301,334,635,-10.9,5,0,1,8.6
2017.01.28,00:00:00,23.59,Olympia,193,189,382,-9.7,4.9,0,11,8
2017.01.29,00:00:00,23.59,Olympia,256,245,501,-8.2,8.7,0,0,8.6
2017.01.30,00:00:00,23.59,Olympia,337,362,699,-5.8,7.2,4.1,64,1.3
2017.01.31,00:00:00,23.59,Olympia,267,260,527,1.1,6.2,10.1,98,0
2017.01.01,00:00:00,23.59,Hirsch,67,74,141,-6.1,2.6,0,36,5.9
2017.01.02,00:00:00,23.59,Hirsch,162,196,358,-5.4,0.8,3.2,69,0.3
2017.01.03,00:00:00,23.59,Hirsch,119,144,263,-2.1,0.6,0,85,3.6
2017.01.04,00:00:00,23.59,Hirsch,85,95,180,-0.9,1.3,2.2,94,0
2017.01.05,00:00:00,23.59,Hirsch,101,104,205,-7.1,-0.2,0,88,0
2017.01.06,00:00:00,23.59,Hirsch,22,30,52,-13,-6.5,0,43,5
2017.01.07,00:00:00,23.59,Hirsch,22,27,49,-14.8,-4,4.6,74,0
2017.01.08,00:00:00,23.59,Hirsch,13,18,31,-4.6,-1,2.7,98,0
2017.01.09,00:00:00,23.59,Hirsch,148,181,329,-2.2,-0.1,0,99,0
2017.01.10,00:00:00,23.59,Hirsch,152,161,313,-4.2,0,0.1,65,7.8
2017.01.11,00:00:00,23.59,Hirsch,137,141,278,-5.3,3.8,2.2,98,0.1
2017.01.12,00:00:00,23.59,Hirsch,183,197,380,1.6,5.5,7.3,96,0
2017.01.13,00:00:00,23.59,Hirsch,193,222,415,-1.5,5.4,0.8,94,0
2017.01.14,00:00:00,23.59,Hirsch,36,48,84,-2.3,2,1.5,90,0.5
2017.01.15,00:00:00,23.59,Hirsch,16,16,32,-3.4,0.5,4.3,96,2
2017.01.16,00:00:00,23.59,Hirsch,133,160,293,-4.5,-2.3,1.4,98,0
2017.01.17,00:00:00,23.59,Hirsch,125,148,273,-7.9,-3.7,0.1,73,1.6
2017.01.18,00:00:00,23.59,Hirsch,143,143,286,-8.4,-3.5,0,84,0
2017.01.19,00:00:00,23.59,Hirsch,149,171,320,-8.8,-3.5,0,51,4.4
2017.01.20,00:00:00,23.59,Hirsch,132,160,292,-11,-2.4,0,1,7.5
2017.01.21,00:00:00,23.59,Hirsch,44,42,86,-11.7,-1.7,0,3,7.3
2017.01.22,00:00:00,23.59,Hirsch,31,25,56,-13.1,-6.2,0,16,6.8
2017.01.23,00:00:00,23.59,Hirsch,163,194,357,-13,-4,0,16,6.2
2017.01.24,00:00:00,23.59,Hirsch,162,176,338,-11.4,-7.2,0,96,0
2017.01.25,00:00:00,23.59,Hirsch,157,181,338,-9.6,-3.9,0,100,0
2017.01.26,00:00:00,23.59,Hirsch,148,176,324,-8.3,-0.8,0,56,3.8
2017.01.27,00:00:00,23.59,Hirsch,170,190,360,-10.9,5,0,1,8.6
2017.01.28,00:00:00,23.59,Hirsch,65,82,147,-9.7,4.9,0,11,8
2017.01.29,00:00:00,23.59,Hirsch,65,65,130,-8.2,8.7,0,0,8.6
2017.01.30,00:00:00,23.59,Hirsch,228,206,434,-5.8,7.2,4.1,64,1.3
2017.01.31,00:00:00,23.59,Hirsch,135,144,279,1.1,6.2,10.1,98,0
2017.01.01,00:00:00,23.59,Margareten,197,187,384,-6.1,2.6,0,36,5.9
2017.01.02,00:00:00,23.59,Margareten,413,421,834,-5.4,0.8,3.2,69,0.3
2017.01.03,00:00:00,23.59,Margareten,251,125,376,-2.1,0.6,0,85,3.6
2017.01.04,00:00:00,23.59,Margareten,233,114,347,-0.9,1.3,2.2,94,0
2017.01.05,00:00:00,23.59,Margareten,182,43,225,-7.1,-0.2,0,88,0
2017.01.06,00:00:00,23.59,Margareten,66,15,81,-13,-6.5,0,43,5
2017.01.07,00:00:00,23.59,Margareten,107,25,132,-14.8,-4,4.6,74,0
2017.01.08,00:00:00,23.59,Margareten,48,29,77,-4.6,-1,2.7,98,0
2017.01.09,00:00:00,23.59,Margareten,343,251,594,-2.2,-0.1,0,99,0
2017.01.10,00:00:00,23.59,Margareten,392,265,657,-4.2,0,0.1,65,7.8
2017.01.11,00:00:00,23.59,Margareten,338,211,549,-5.3,3.8,2.2,98,0.1
2017.01.12,00:00:00,23.59,Margareten,528,536,1064,1.6,5.5,7.3,96,0
2017.01.13,00:00:00,23.59,Margareten,517,500,1017,-1.5,5.4,0.8,94,0
2017.01.14,00:00:00,23.59,Margareten,215,208,423,-2.3,2,1.5,90,0.5
2017.01.15,00:00:00,23.59,Margareten,30,17,47,-3.4,0.5,4.3,96,2
2017.01.16,00:00:00,23.59,Margareten,17,5,22,-4.5,-2.3,1.4,98,0
2017.01.17,00:00:00,23.59,Margareten,4,3,7,-7.9,-3.7,0.1,73,1.6
2017.01.18,00:00:00,23.59,Margareten,2,0,2,-8.4,-3.5,0,84,0
2017.01.19,00:00:00,23.59,Margareten,1,0,1,-8.8,-3.5,0,51,4.4
2017.01.20,00:00:00,23.59,Margareten,1,1,2,-11,-2.4,0,1,7.5
2017.01.21,00:00:00,23.59,Margareten,5,1,6,-11.7,-1.7,0,3,7.3
2017.01.22,00:00:00,23.59,Margareten,1,1,2,-13.1,-6.2,0,16,6.8
2017.01.23,00:00:00,23.59,Margareten,13,0,13,-13,-4,0,16,6.2
2017.01.24,00:00:00,23.59,Margareten,41,5,46,-11.4,-7.2,0,96,0
2017.01.25,00:00:00,23.59,Margareten,56,8,64,-9.6,-3.9,0,100,0
2017.01.26,00:00:00,23.59,Margareten,184,76,260,-8.3,-0.8,0,56,3.8
2017.01.27,00:00:00,23.59,Margareten,212,87,299,-10.9,5,0,1,8.6
2017.01.28,00:00:00,23.59,Margareten,152,73,225,-9.7,4.9,0,11,8
2017.01.29,00:00:00,23.59,Margareten,110,77,187,-8.2,8.7,0,0,8.6
2017.01.30,00:00:00,23.59,Margareten,227,167,394,-5.8,7.2,4.1,64,1.3
2017.01.31,00:00:00,23.59,Margareten,436,449,885,1.1,6.2,10.1,98,0
2017.01.01,00:00:00,23.59,Erhardt,253,278,531,-6.1,2.6,0,36,5.9
2017.01.02,00:00:00,23.59,Erhardt,414,447,861,-5.4,0.8,3.2,69,0.3
2017.01.03,00:00:00,23.59,Erhardt,340,348,688,-2.1,0.6,0,85,3.6
2017.01.04,00:00:00,23.59,Erhardt,271,298,569,-0.9,1.3,2.2,94,0
2017.01.05,00:00:00,23.59,Erhardt,178,170,348,-7.1,-0.2,0,88,0
2017.01.06,00:00:00,23.59,Erhardt,58,55,113,-13,-6.5,0,43,5
2017.01.07,00:00:00,23.59,Erhardt,89,90,179,-14.8,-4,4.6,74,0
2017.01.08,00:00:00,23.59,Erhardt,83,96,179,-4.6,-1,2.7,98,0
2017.01.09,00:00:00,23.59,Erhardt,412,411,823,-2.2,-0.1,0,99,0
2017.01.10,00:00:00,23.59,Erhardt,478,418,896,-4.2,0,0.1,65,7.8
2017.01.11,00:00:00,23.59,Erhardt,528,469,997,-5.3,3.8,2.2,98,0.1
2017.01.12,00:00:00,23.59,Erhardt,672,724,1396,1.6,5.5,7.3,96,0
2017.01.13,00:00:00,23.59,Erhardt,523,596,1119,-1.5,5.4,0.8,94,0
2017.01.14,00:00:00,23.59,Erhardt,180,217,397,-2.3,2,1.5,90,0.5
2017.01.15,00:00:00,23.59,Erhardt,153,136,289,-3.4,0.5,4.3,96,2
2017.01.16,00:00:00,23.59,Erhardt,363,341,704,-4.5,-2.3,1.4,98,0
2017.01.17,00:00:00,23.59,Erhardt,323,282,605,-7.9,-3.7,0.1,73,1.6
2017.01.18,00:00:00,23.59,Erhardt,362,284,646,-8.4,-3.5,0,84,0
2017.01.19,00:00:00,23.59,Erhardt,348,350,698,-8.8,-3.5,0,51,4.4
2017.01.20,00:00:00,23.59,Erhardt,359,331,690,-11,-2.4,0,1,7.5
2017.01.21,00:00:00,23.59,Erhardt,148,147,295,-11.7,-1.7,0,3,7.3
2017.01.22,00:00:00,23.59,Erhardt,124,162,286,-13.1,-6.2,0,16,6.8
2017.01.23,00:00:00,23.59,Erhardt,324,338,662,-13,-4,0,16,6.2
2017.01.24,00:00:00,23.59,Erhardt,384,403,787,-11.4,-7.2,0,96,0
2017.01.25,00:00:00,23.59,Erhardt,402,418,820,-9.6,-3.9,0,100,0
2017.01.26,00:00:00,23.59,Erhardt,442,480,922,-8.3,-0.8,0,56,3.8
2017.01.27,00:00:00,23.59,Erhardt,456,437,893,-10.9,5,0,1,8.6
2017.01.28,00:00:00,23.59,Erhardt,253,322,575,-9.7,4.9,0,11,8
2017.01.29,00:00:00,23.59,Erhardt,300,331,631,-8.2,8.7,0,0,8.6
2017.01.30,00:00:00,23.59,Erhardt,714,717,1431,-5.8,7.2,4.1,64,1.3
2017.01.31,00:00:00,23.59,Erhardt,520,553,1073,1.1,6.2,10.1,98,0
